K AIC BIC log.lk n.param converged n.iter
2 5248777.77198584 5525099.99514483 -2548662.88599292 75726 1 1
3 4085174.12797914 4499657.46271764 -1928998.06398957 113589 1 1
4 3113939.36446165 3666583.81077964 -1405517.68223082 151452 1 1
5 2382972.64564907 3073778.20354656 -1002171.32282454 189315 1 1
6 2173152.07299337 3002118.74247035 -859398.036496684 227178 1 1
7 1915751.99081336 2882879.77186984 -692834.99540668 265041 1 1
8 1799786.17505076 2905075.06768674 -596989.087525378 302904 1 1
9 1643705.84978817 2887155.85400365 -481085.924894085 340767 1 1
10 1616123.06397395 2997734.17976893 -429431.531986977 378630 1 1
11 1609986.08646976 3129758.31384424 -388500.043234881 416493 1 1
12 1606290.66283907 3264224.00179304 -348789.331419535 454356 1 1
13 1609650.23432039 3405744.68485386 -312606.117160193 492219 1 1
14 1631203.70251429 3565459.26462726 -285519.851257144 530082 1 1
15 1657015.5845067 3729432.25819917 -260562.79225335 567945 1 1
16 1653735.19765994 3864312.9829319 -221059.59882997 605808 1 1
17 1688498.69687745 4037237.59372891 -200578.348438726 643671 1 1
18 1729980.24780337 4216880.25623433 -183456.123901687 681534 1 1
19 1787033.50626941 4412094.62627987 -174119.753134707 719397 1 1
20 1837669.08705781 4600891.31864776 -161574.543528903 757260 1 1
21 1901023.13910405 4802406.4822735 -155388.569552025 795123 1 1
22 1965391.06771216 5004935.52246111 -149709.533856079 832986 1 1
23 2030736.33717227 5208441.90350072 -144519.168586136 870849 1 1
24 2097185.9258255 5413052.60373345 -139880.96291275 908712 1 1
25 2162961.54234736 5616989.33183481 -134905.771173681 946575 1 1
26 2231479.67024838 5823668.57131532 -131301.835124188 984438 1 1
27 2304893.009572 6035243.02221844 -130145.504786002 1022301 1 4
28 2372382.20040259 6240893.32462852 -126027.100201293 1060164 1 4
29 2447747.27931544 6454419.51512088 -125846.639657722 1098027 1 4
30 2519654.3041555 6664487.65154043 -123937.15207775 1135890 1 4
